,Neighborhood,Price,Number of Beds,Number of Baths
79,"Columbia Point, Dorchester, Boston","$3,602",2 Bed,2 Bath
80,"West End, Boston","$3,435",2 Bed,2 Bath
81,"West End, Boston","$3,410",2 Bed,2 Bath
82,"West End, Boston","$2,965",1 Bed,1 Bath
83,"Downtown Boston, Boston","$4,269",2 Bed,2 Bath
84,"Downtown Boston, Boston","$3,075",1 Bed,1 Bath
85,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,879",1 Bed,1 Bath
86,"Central Maverick Square - Paris Street, East Boston, Boston","$2,602",1 Bed,1 Bath
87,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,436",1 Bed,1 Bath
88,"St. Elizabeth's, Brighton, Boston","$2,525",2 Bed,1 Bath
89,"Downtown Boston, Boston","$9,970",3 Bed,2 Bath
90,"Central Maverick Square - Paris Street, East Boston, Boston","$2,400",3 Bed,1.5 Bath
91,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,466",1 Bed,1 Bath
92,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,325",1 Bed,1 Bath
93,"Downtown Boston, Boston","$4,450",1 Bed,1 Bath
94,"Central Maverick Square - Paris Street, East Boston, Boston","$2,035",Studio,1 Bath
95,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,706",Studio,1 Bath
96,"Shawmut, South End, Boston","$3,164",Studio,1 Bath
97,"North End, Boston","$3,755",1 Bed,1 Bath
98,"Central Maverick Square - Paris Street, East Boston, Boston","$3,600",2 Bed,2 Bath
99,"Columbia Point, Dorchester, Boston","$2,544",1 Bed,1 Bath
100,"Downtown Boston, Boston","$9,970",3 Bed,2 Bath
101,"Downtown Boston, Boston","$3,913",1 Bed,1 Bath
102,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,995",Studio,1 Bath
103,"St. Elizabeth's, Brighton, Boston","$2,525",2 Bed,1 Bath
104,"Downtown Boston, Boston","$2,795",Studio,1 Bath
105,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,050",1 Bed,1 Bath
106,"Downtown Boston, Boston","$9,970",3 Bed,2 Bath
107,"Central Maverick Square - Paris Street, East Boston, Boston","$2,400",3 Bed,1.5 Bath
108,"Downtown Boston, Boston","$2,795",Studio,1 Bath
109,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,436",1 Bed,1 Bath
110,"Thompson Square - Bunker Hill, Charlestown, Boston","$3,847",2 Bed,2 Bath
111,"West End, Boston","$2,600",Studio,1 Bath
112,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,400",2 Bed,1 Bath
113,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,817",1 Bed,1 Bath
114,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,365",1 Bed,1 Bath
115,"West End, Boston","$2,415",Studio,1 Bath
116,"Downtown Boston, Boston","$3,351",Studio,1 Bath
117,"West End, Boston","$3,435",2 Bed,2 Bath
118,"West End, Boston","$3,435",2 Bed,2 Bath
119,"Central Maverick Square - Paris Street, East Boston, Boston","$3,100",2 Bed,1 Bath
120,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,550",1 Bed,1 Bath
121,"Central Maverick Square - Paris Street, East Boston, Boston","$2,400",3 Bed,1.5 Bath
122,"Downtown Boston, Boston","$3,030",Studio,1 Bath
123,"Downtown Boston, Boston","$2,795",Studio,1 Bath
124,"Shawmut, South End, Boston","$3,908",1 Bed,1 Bath
125,"Shawmut, South End, Boston","$3,189",Studio,1 Bath
126,"West End, Boston","$2,825",1 Bed,1 Bath
127,"West End, Boston","$3,935",2 Bed,2 Bath
128,"Downtown Melrose, Melrose","$2,265",2 Bed,2 Bath
129,"Watertown West End, Watertown","$1,600",Studio,1 Bath
130,"Downtown Boston, Boston","$3,370",1 Bed,1 Bath
131,"North End, Boston","$3,075",1 Bed,1 Bath
132,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,126",2 Bed,2 Bath
133,"Lakeview, Waltham","$2,260",3 Bed,2 Bath
134,"Cambridge Highlands, Cambridge","$2,250",Studio,1 Bath
135,"Seaport District, D Street - West Broadway, South Boston, Boston","$6,019",2 Bed,2 Bath
136,"Prudential - St. Botolph, Back Bay, Boston","$4,500",3 Bed,2 Bath
137,"Watertown West End, Watertown","$2,250",2 Bed,2 Bath
138,"Central Maverick Square - Paris Street, East Boston, Boston","$1,650",1 Bed,1 Bath
139,"Shawmut, South End, Boston","$3,264",Studio,1 Bath
140,"Chinatown - Leather District, Boston","$6,348",3 Bed,2 Bath
141,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,710",Studio,1 Bath
142,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,149",1 Bed,1 Bath
143,"Prudential - St. Botolph, Back Bay, Boston","$6,770",2 Bed,2 Bath
144,"Prudential - St. Botolph, Back Bay, Boston","$6,199",3 Bed,2 Bath
145,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,176",2 Bed,2 Bath
146,"Lower Roxbury, Roxbury, Boston","$2,300",1 Bed,1 Bath
147,"Downtown Boston, Boston","$3,050",1 Bed,1 Bath
148,"Central Maverick Square - Paris Street, East Boston, Boston","$3,593",2 Bed,2 Bath
149,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,795",2 Bed,2 Bath
150,"Downtown Boston, Boston","$5,025",2 Bed,2 Bath
151,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,009",1 Bed,1 Bath
152,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,079",1 Bed,1 Bath
153,"Central Maverick Square - Paris Street, East Boston, Boston","$1,900",2 Bed,1 Bath
154,"Lower Roxbury, Roxbury, Boston","$4,200",3 Bed,2 Bath
155,"Bay Village, Boston","$7,395",2 Bed,2 Bath
156,"Chinatown - Leather District, Boston","$3,515",1 Bed,1 Bath
157,"Downtown Melrose, Melrose","$1,945",1 Bed,1 Bath
158,"Prudential - St. Botolph, Back Bay, Boston","$4,010",1 Bed,1 Bath
159,"Prudential - St. Botolph, Back Bay, Boston","$2,500",1 Bed,1 Bath
160,"Watertown West End, Watertown","$1,950",1 Bed,1 Bath
161,"Chinatown - Leather District, Boston","$3,371",1 Bed,1 Bath
162,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,149",1 Bed,1 Bath
163,"Prudential - St. Botolph, Back Bay, Boston","$6,770",2 Bed,2 Bath
164,"Prudential - St. Botolph, Back Bay, Boston","$6,199",3 Bed,2 Bath
165,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,750",1 Bed,1 Bath
166,"Prudential - St. Botolph, Back Bay, Boston","$8,235",3 Bed,3 Bath
167,"Downtown Lowell, Lowell","$1,560",1 Bed,1.5 Bath
168,"Kendall Square, Cambridge","$3,865",2 Bed,1.5 Bath
169,"Thompsonville, Newton","$3,427",2 Bed,2.5 Bath
170,"East Cambridge, Cambridge","$2,816",1 Bed,1.5 Bath
171,"Downtown Boston, Boston","$3,565",2 Bed,2.5 Bath
172,"Bay Village, Boston","$3,895",1 Bed,1 Bath
173,"Cambridge Highlands, Cambridge","$2,957",2 Bed,2 Bath
174,"Lakeview, Waltham","$1,970",2 Bed,1 Bath
175,"Central Maverick Square - Paris Street, East Boston, Boston","$2,700",4 Bed,2 Bath
176,"Prudential - St. Botolph, Back Bay, Boston","$3,215",Studio,1 Bath
177,"Downtown Boston, Boston","$2,850",Studio,1 Bath
178,"Medical Center Area, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,707",Studio,1 Bath
179,"Lower Roxbury, Roxbury, Boston","$2,900",2 Bed,1 Bath
180,"Seaport District, D Street - West Broadway, South Boston, Boston","$2,644",Studio,1 Bath
181,"Follen Heights, Lexington","$1,875",2 Bed,2 Bath
182,"Jamaica Hills - Pond, Jamaica Plain, Boston","$4,092",2 Bed,2 Bath
183,"Prudential - St. Botolph, Back Bay, Boston","$6,770",2 Bed,2 Bath
184,"Prudential - St. Botolph, Back Bay, Boston","$6,199",3 Bed,2 Bath
185,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,750",1 Bed,1 Bath
186,"Prudential - St. Botolph, Back Bay, Boston","$8,235",3 Bed,3 Bath
187,"Downtown Lowell, Lowell","$1,560",1 Bed,1.5 Bath
188,"Kendall Square, Cambridge","$3,865",2 Bed,1.5 Bath
189,"Thompsonville, Newton","$3,427",2 Bed,2.5 Bath
190,"East Cambridge, Cambridge","$2,816",1 Bed,1.5 Bath
191,"Downtown Boston, Boston","$3,565",2 Bed,2.5 Bath
192,"Shawmut, South End, Boston","$6,558",3 Bed,2.5 Bath
193,"Mission Hill, Boston","$5,200",3 Bed,2.5 Bath
194,"Watertown West End, Watertown","$2,050",2 Bed,1.5 Bath
195,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,215",1 Bed,1.5 Bath
196,"Medford Street - The Neck, Charlestown, Boston","$2,389",1 Bed,1.5 Bath
197,"East Watertown, Watertown","$3,240",2 Bed,2.5 Bath
198,"Walnut Hill, Woburn","$2,347",1 Bed,1.5 Bath
199,"Central Maverick Square - Paris Street, East Boston, Boston","$3,275",2 Bed,1 Bath
200,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,750",1 Bed,1 Bath
201,"Prudential - St. Botolph, Back Bay, Boston","$8,235",3 Bed,3 Bath
202,"West End, Boston","$2,115",1 Bed,1 Bath
203,"Shawmut, South End, Boston","$3,978",1 Bed,1 Bath
204,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,200",1 Bed,1 Bath
205,"Downtown Lowell, Lowell","$1,560",1 Bed,1.5 Bath
206,"Kendall Square, Cambridge","$3,865",2 Bed,1.5 Bath
207,"Thompsonville, Newton","$3,427",2 Bed,2.5 Bath
208,"East Cambridge, Cambridge","$2,816",1 Bed,1.5 Bath
209,"Downtown Boston, Boston","$3,565",2 Bed,2.5 Bath
210,"Shawmut, South End, Boston","$6,558",3 Bed,2.5 Bath
211,"Mission Hill, Boston","$5,200",3 Bed,2.5 Bath
212,"Watertown West End, Watertown","$2,050",2 Bed,1.5 Bath
213,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,215",1 Bed,1.5 Bath
214,"Medford Street - The Neck, Charlestown, Boston","$2,389",1 Bed,1.5 Bath
215,"East Watertown, Watertown","$3,240",2 Bed,2.5 Bath
216,"Walnut Hill, Woburn","$2,347",1 Bed,1.5 Bath
217,"Central Maverick Square - Paris Street, East Boston, Boston","$3,275",2 Bed,1 Bath
218,"Cummingsville, Woburn","$1,895",2 Bed,1.5 Bath
219,"Downtown Lowell, Lowell","$1,410",2 Bed,2.5 Bath
220,"Shawmut, South End, Boston","$6,558",3 Bed,2.5 Bath
221,"Mission Hill, Boston","$5,200",3 Bed,2.5 Bath
222,"Downtown Boston, Boston","$4,945",3 Bed,2.5 Bath
223,"Watertown West End, Watertown","$2,050",2 Bed,1.5 Bath
224,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,215",1 Bed,1.5 Bath
225,"Medford Street - The Neck, Charlestown, Boston","$2,389",1 Bed,1.5 Bath
226,"East Watertown, Watertown","$3,240",2 Bed,2.5 Bath
227,"Kendall Square, Cambridge","$3,330",1 Bed,1.5 Bath
228,"Walnut Hill, Woburn","$2,347",1 Bed,1.5 Bath
229,"Central Maverick Square - Paris Street, East Boston, Boston","$3,275",2 Bed,1 Bath
230,"Cummingsville, Woburn","$1,895",2 Bed,1.5 Bath
231,"East Cambridge, Cambridge","$3,471",2 Bed,2.5 Bath
232,"Downtown Lowell, Lowell","$1,410",2 Bed,2.5 Bath
233,"Chinatown - Leather District, Boston","$5,058",2 Bed,2.5 Bath
234,"Upper Washington - Spring Street, West Roxbury, Boston","$1,825",1 Bed,1.5 Bath
235,"Crescent Beach, Revere","$3,019",2 Bed,2.5 Bath
236,"Weymouth Landing, Braintree Town","$1,800",1 Bed,1.5 Bath
237,"North Cambridge, Cambridge","$3,914",3 Bed,2.5 Bath
238,"South Salem, Salem","$1,950",2 Bed,2.5 Bath
239,"Shawmut, South End, Boston","$2,945",2 Bed,1.5 Bath
240,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$7,085",3 Bed,3.5 Bath
241,"South Salem, Salem","$1,950",2 Bed,2.5 Bath
242,"Shawmut, South End, Boston","$3,177",1 Bed,1.5 Bath
243,"Shawmut, South End, Boston","$2,945",2 Bed,1.5 Bath
244,"Cambridgeport, Cambridge","$2,900",2 Bed,1.5 Bath
245,"Chinatown - Leather District, Boston","$3,561",1 Bed,1.5 Bath
246,"Downtown Boston, Boston","$4,219",2 Bed,2.5 Bath
247,"East Watertown, Watertown","$2,330",1 Bed,1.5 Bath
248,"North Common, Lawrence","$1,500",1 Bed,1.5 Bath
249,"Crescent Beach, Revere","$1,971",1 Bed,1.5 Bath
250,"South Common, Lawrence","$1,800",2 Bed,1.5 Bath
251,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,806",2 Bed,2.5 Bath
252,"North Cambridge, Cambridge","$3,409",2 Bed,2.5 Bath
253,"North Allston, Allston, Boston","$2,692",3 Bed,1.5 Bath
254,"Columbia Point, Dorchester, Boston","$4,395",3 Bed,2.5 Bath
255,"General Donovan, Lawrence","$1,850",2 Bed,1.5 Bath
256,"Washington Square, Brookline","$2,350",1 Bed,1.5 Bath
257,"West Revere, Revere","$1,650",2 Bed,1.5 Bath
258,"Mission Hill, Boston","$3,500",2 Bed,1.5 Bath
259,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$6,072",3 Bed,3.5 Bath
260,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,888",1 Bed,1.5 Bath
261,"South Common, Lawrence","$1,600",1 Bed,1.5 Bath
262,"Downtown Lowell, Lowell","$1,600",1 Bed,1.5 Bath
