,Neighborhood,Price,Number of Beds,Number of Baths
369,"Telegraph Hill, South Boston, Boston","$3,400",2 Bed,2 Bath
370,"Mid-Cambridge, Cambridge","$2,200",1 Bed,1 Bath
371,"Coolidge Corner, Brookline","$2,800",2 Bed,1 Bath
372,"Spring Hill, Somerville","$4,600",4 Bed,1 Bath
373,"Oak Square, Brighton, Boston","$3,000",3 Bed,1 Bath
374,"North End, Boston","$1,950",1 Bed,1 Bath
375,"Mission Hill, Boston","$5,250",5 Bed,2 Bath
376,"Columbus, South End, Boston","$5,000",1 Bed,1 Bath
377,"Oak Square, Brighton, Boston","$2,300",2 Bed,1 Bath
378,"Ward Two, Somerville","$4,000",3 Bed,2 Bath
379,"Bleachery, Waltham","$3,200",4 Bed,1.5 Bath
380,"Oak Square, Brighton, Boston","$2,400",4 Bed,1.5 Bath
381,"Central Maverick Square - Paris Street, East Boston, Boston","$2,700",3 Bed,2 Bath
382,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$2,895",3 Bed,1 Bath
383,"Downtown Boston, Boston","$1,995",1 Bed,1 Bath
384,"Mission Hill, Boston","$3,699",4 Bed,1 Bath
385,"Oak Square, Brighton, Boston","$1,900",1 Bed,1 Bath
386,"Oak Square, Brighton, Boston","$4,200",5 Bed,2 Bath
387,"Oak Square, Brighton, Boston","$2,550",3 Bed,1 Bath
388,"Watertown West End, Watertown","$3,400",3 Bed,2.5 Bath
389,"Oak Square, Brighton, Boston","$3,600",4 Bed,2 Bath
390,"Oak Square, Brighton, Boston","$3,600",4 Bed,2 Bath
391,"Mission Hill, Boston","$3,700",4 Bed,1 Bath
392,"Jeffries Point - Airport, East Boston, Boston","$3,250",4 Bed,1 Bath
393,"Commonwealth, Brighton, Boston","$1,995",2 Bed,1 Bath
394,"Brookline Village, Brookline","$3,825",3 Bed,2 Bath
395,"Beacon Hill, Boston","$5,500",2 Bed,2.5 Bath
396,"North Allston, Allston, Boston","$5,500",5 Bed,3 Bath
397,"Coolidge Corner, Brookline","$3,900",3 Bed,1 Bath
398,"Beacon Hill, Boston","$2,800",2 Bed,1 Bath
399,"Oak Square, Brighton, Boston","$2,850",3 Bed,1.5 Bath
400,"Inman Square, Cambridge","$5,000",3 Bed,3 Bath
401,"Central Maverick Square - Paris Street, East Boston, Boston","$2,700",3 Bed,2 Bath
402,"Cleveland Circle, Brookline","$4,200",4 Bed,2 Bath
403,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,500",2 Bed,1 Bath
404,"Newton Corner, Newton","$4,500",5 Bed,3 Bath
405,"Oak Square, Brighton, Boston","$2,300",3 Bed,1 Bath
406,"Medford Street - The Neck, Charlestown, Boston","$2,400",1 Bed,1 Bath
407,"Telegraph Hill, South Boston, Boston","$2,850",2 Bed,1 Bath
408,"Aggasiz - Harvard University, Cambridge","$3,700",2 Bed,1 Bath
409,"Bay Village, Boston","$4,400",3 Bed,1.5 Bath
410,"Allston, Boston","$4,600",4 Bed,2 Bath
411,"St. Elizabeth's, Brighton, Boston","$4,600",4 Bed,2 Bath
412,"Oak Square, Brighton, Boston","$2,750",3 Bed,1.5 Bath
413,"Allston, Boston","$4,800",4 Bed,2 Bath
414,"Oak Square, Brighton, Boston","$3,200",4 Bed,2 Bath
415,"Ward Two, Somerville","$2,400",2 Bed,1 Bath
416,"North Allston, Allston, Boston","$5,595",5 Bed,3 Bath
417,"Cambridgeport, Cambridge","$2,800",1 Bed,1 Bath
418,"Oak Square, Brighton, Boston","$3,400",3 Bed,2 Bath
419,"Oak Square, Brighton, Newton","$3,300",3 Bed,2 Bath
420,"Prudential - St. Botolph, Back Bay, Boston","$4,799",2 Bed,1.5 Bath
421,"Central Maverick Square - Paris Street, East Boston, Boston","$2,700",3 Bed,2 Bath
422,"Back Bay West, Back Bay, Boston","$2,500",1 Bed,1 Bath
423,"Downtown Boston, Boston","$3,000",1 Bed,1 Bath
424,"Washington Square, Brookline","$2,400",1 Bed,1 Bath
425,"Allston, Boston","$3,700",5 Bed,1.5 Bath
426,"St. Elizabeth's, Brighton, Boston","$3,200",3 Bed,1 Bath
427,"Beacon Hill, Boston","$3,000",1 Bed,1 Bath
428,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,575",1 Bed,1 Bath
429,"Coolidge Corner, Brookline","$3,599",2 Bed,1 Bath
430,"St. Elizabeth's, Brighton, Boston","$2,400",1 Bed,1 Bath
431,"Commonwealth, Brighton, Boston","$4,200",5 Bed,2 Bath
432,"Commonwealth, Brighton, Boston","$1,750",1 Bed,1 Bath
433,"Oak Square, Brighton, Boston","$3,700",4 Bed,3 Bath
434,"Jeffries Point - Airport, East Boston, Boston","$2,128",2 Bed,1 Bath
435,"Spring Hill, Somerville","$3,550",3 Bed,2 Bath
436,"Coolidge Corner, Brookline","$2,300",1 Bed,1 Bath
437,"Washington Square, Brookline","$4,600",4 Bed,3 Bath
438,"Oak Square, Brighton, Boston","$2,800",3 Bed,2 Bath
439,"Allston, Boston","$4,750",5 Bed,2 Bath
440,"Allston, Boston","$2,995",3 Bed,1.5 Bath
441,"North Cambridge, Cambridge","$4,700",5 Bed,3.5 Bath
442,"Washington Square, Brookline","$3,250",2 Bed,2 Bath
443,"Coolidge Corner, Brookline","$4,400",4 Bed,2 Bath
444,"Commonwealth, Brighton, Boston","$1,850",1 Bed,1 Bath
445,"Oak Square, Brighton, Boston","$2,400",3 Bed,2 Bath
446,"Oak Square, Brighton, Boston","$3,250",4 Bed,2 Bath
447,"North Cambridge, Cambridge","$3,000",2 Bed,2 Bath
448,"Oak Square, Brighton, Boston","$3,100",3 Bed,1 Bath
449,"Spring Hill, Somerville","$1,950",1 Bed,1 Bath
450,"Spring Hill, Somerville","$1,875",1 Bed,1 Bath
451,"Coolidge Corner, Brookline","$4,995",3 Bed,2.5 Bath
452,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,000",1 Bed,1 Bath
453,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,300",2 Bed,1 Bath
454,"Oak Square, Brighton, Boston","$2,350",2 Bed,1 Bath
455,"North Cambridge, Cambridge","$3,000",2 Bed,2 Bath
456,"Addison - Orange, Chelsea","$3,175",3 Bed,2 Bath
457,"Beacon Hill, Boston","$2,800",2 Bed,1 Bath
458,"St. Elizabeth's, Brighton, Boston","$5,199",7 Bed,3 Bath
459,"Eagle Hill, East Boston, Boston","$3,300",4 Bed,1 Bath
460,"Mission Hill, Boston","$4,100",4 Bed,1 Bath
461,"Highland Park, Roxbury, Boston","$2,395",2 Bed,1 Bath
462,"Downtown Boston, Boston","$2,824",Studio,1 Bath
463,"Downtown Boston, Boston","$5,925",2 Bed,2 Bath
464,"Spring Hill, Somerville","$1,925",1 Bed,1 Bath
465,"Oak Square, Brighton, Boston","$3,200",4 Bed,1 Bath
466,"Coolidge Corner, Brookline","$2,995",2 Bed,1 Bath
467,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
468,"Jamaica Hills - Pond, Jamaica Plain, Boston","$2,850",3 Bed,1 Bath
469,"Hyde Square, Jamaica Plain, Boston","$3,600",4 Bed,2 Bath
470,"Central Maverick Square - Paris Street, East Boston, Boston","$2,950",3 Bed,2.5 Bath
471,"Bay Village, Boston","$3,100",2 Bed,1 Bath
472,"Coolidge Corner, Brookline","$7,200",6 Bed,2 Bath
473,"North Allston, Allston, Boston","$3,400",3 Bed,2 Bath
474,"Mission Hill, Boston","$3,850",4 Bed,1 Bath
475,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,600",1 Bed,1 Bath
476,"Coolidge Corner, Brookline","$3,300",3 Bed,1 Bath
477,"Coolidge Corner, Brookline","$3,075",1 Bed,1 Bath
478,"Inman Square, Cambridge","$2,600",2 Bed,2 Bath
479,"Oak Square, Brighton, Boston","$2,925",4 Bed,2 Bath
480,"Allston, Boston","$2,250",2 Bed,1 Bath
481,"Highland Park, Roxbury, Boston","$2,395",2 Bed,1 Bath
482,"Downtown Boston, Boston","$2,824",Studio,1 Bath
483,"Downtown Boston, Boston","$5,925",2 Bed,2 Bath
484,"Lower Roxbury, Roxbury, Boston","$2,600",2 Bed,1 Bath
485,"Sav-Mor, Roxbury, Boston","$2,900",3 Bed,2 Bath
486,"Oak Square, Brighton, Boston","$4,900",5 Bed,4 Bath
487,"Coolidge Corner, Brookline","$4,250",4 Bed,1 Bath
488,"Allston, Boston","$5,200",6 Bed,2.5 Bath
489,"St. Elizabeth's, Brighton, Boston","$2,050",2 Bed,1 Bath
490,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,700",2 Bed,1 Bath
491,"Oak Square, Brighton, Boston","$2,850",3 Bed,1 Bath
492,"Oak Square, Brighton, Boston","$3,000",3 Bed,2 Bath
493,"Oak Square, Brighton, Boston","$4,300",5 Bed,2 Bath
494,"Financial District, Downtown Boston, Boston","$6,200",2 Bed,2.5 Bath
495,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,950",1 Bed,1 Bath
496,"Coolidge Corner, Brookline","$4,500",4 Bed,1.5 Bath
497,"Oak Square, Brighton, Boston","$3,700",4 Bed,2 Bath
498,"Allston, Boston","$4,400",6 Bed,3 Bath
499,"East Cambridge, Cambridge","$4,200",2 Bed,2 Bath
500,"Downtown Boston, Boston","$3,930",2 Bed,2 Bath
501,"Highland Park, Roxbury, Boston","$2,395",2 Bed,1 Bath
502,"Downtown Boston, Boston","$2,824",Studio,1 Bath
503,"Downtown Boston, Boston","$5,925",2 Bed,2 Bath
504,"Mission Hill, Boston","$4,000",4 Bed,1 Bath
505,"West End, Boston","$2,565",Studio,1 Bath
506,"North Allston, Allston, Boston","$1,995",2 Bed,1 Bath
507,"North End, Boston","$2,915",1 Bed,1 Bath
508,"Oak Square, Brighton, Boston","$2,200",2 Bed,1 Bath
509,"Oak Square, Brighton, Boston","$2,200",2 Bed,1 Bath
510,"Lower Roxbury, Roxbury, Boston","$3,150",3 Bed,1 Bath
511,"Tufts University, Medford Hillside, Somerville","$3,000",2 Bed,1 Bath
512,"Washington Square, Brookline","$3,875",2 Bed,2 Bath
513,"Prudential - St. Botolph, Back Bay, Boston","$3,800",1 Bed,1 Bath
514,"Downtown Boston, Boston","$3,300",1 Bed,1 Bath
515,"Downtown Boston, Boston","$5,675",2 Bed,2 Bath
516,"Oak Square, Brighton, Boston","$3,000",3 Bed,1 Bath
517,"Lower Roxbury, Roxbury, Boston","$4,100",3 Bed,2 Bath
518,"North Allston, Allston, Boston","$4,630",6 Bed,1 Bath
519,"Chestnut Hill, Brookline","$3,200",3 Bed,1 Bath
520,"Newton Corner, Watertown","$3,005",2 Bed,2 Bath
521,"Mission Hill, Boston","$4,000",4 Bed,1 Bath
522,"West End, Boston","$2,565",Studio,1 Bath
523,"Beacon Hill, Boston","$3,399",2 Bed,1 Bath
524,"Chestnut Hill, Brookline","$2,750",2 Bed,1 Bath
525,"Oak Square, Brighton, Boston","$2,800",3 Bed,1 Bath
526,"North Allston, Allston, Boston","$6,600",5 Bed,4 Bath
527,"Mission Hill, Boston","$4,400",4 Bed,1 Bath
528,"Allston, Boston","$4,800",5 Bed,2 Bath
529,"Commonwealth, Brighton, Boston","$4,800",6 Bed,3 Bath
530,"East Somerville, Boston","$4,800",4 Bed,2 Bath
531,"North Allston, Allston, Boston","$3,200",4 Bed,1 Bath
532,"Jeffries Point - Airport, East Boston, Boston","$2,050",2 Bed,1 Bath
533,"Allston, Boston","$6,300",6 Bed,3 Bath
534,"Allston, Boston","$3,515",2 Bed,1 Bath
535,"Ten Hills, Somerville","$4,000",4 Bed,1.5 Bath
536,"Watertown West End, Watertown","$3,800",3 Bed,2 Bath
537,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,800",2 Bed,1 Bath
538,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,800",3 Bed,1 Bath
539,"Allston, Boston","$2,775",3 Bed,2 Bath
540,"Oak Square, Brighton, Boston","$3,400",3 Bed,2 Bath
541,"Mission Hill, Boston","$4,000",4 Bed,1 Bath
542,"West End, Boston","$2,565",Studio,1 Bath
543,"Oak Square, Brighton, Boston","$2,700",3 Bed,1 Bath
544,"Oak Square, Brighton, Boston","$2,850",3 Bed,2 Bath
545,"Oak Square, Brighton, Boston","$2,700",3 Bed,1 Bath
546,"Prudential - St. Botolph, Back Bay, Boston","$6,565",3 Bed,2 Bath
547,"East Cambridge, Cambridge","$4,900",2 Bed,2 Bath
548,"Waterfront, North End, Boston","$2,700",2 Bed,2 Bath
549,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,700",2 Bed,1 Bath
550,"Newton Corner, Newton","$3,150",3 Bed,1 Bath
551,"Winthrop Beach, Winthrop Town","$2,025",3 Bed,1 Bath
552,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,915",2 Bed,1 Bath
553,"Mission Hill, Boston","$5,250",5 Bed,1 Bath
554,"Neighborhood Nine, Cambridge","$2,100",1 Bed,1 Bath
555,"Allston, Boston","$4,600",6 Bed,2 Bath
556,"Hyde Square, Jamaica Plain, Boston","$2,900",3 Bed,1 Bath
557,"Coolidge Corner, Brookline","$2,895",1 Bed,2 Bath
558,"Oak Square, Brighton, Boston","$4,100",4 Bed,3 Bath
559,"Downtown Boston, Boston","$1,900",1 Bed,1 Bath
560,"Allston, Boston","$3,300",2 Bed,2 Bath
561,"Huron Village, West Cambridge, Cambridge","$2,856",2 Bed,1 Bath
562,"East Cambridge, Cambridge","$4,117",2 Bed,2 Bath
563,"West End, Boston","$2,915",1 Bed,1 Bath
564,"Washington Square, Brookline","$2,195",1 Bed,1 Bath
565,"Mission Hill, Boston","$4,900",4 Bed,3 Bath
566,"Lower Roxbury, Roxbury, Boston","$5,200",4 Bed,1 Bath
567,"Oak Square, Brighton, Boston","$4,650",6 Bed,2 Bath
568,"East Cambridge, Cambridge","$2,825",1 Bed,1 Bath
569,"Cambridgeport, Cambridge","$3,493",2 Bed,2 Bath
570,"Coolidge Corner, Brookline","$3,500",3 Bed,1 Bath
571,"Commonwealth, Brighton, Boston","$4,800",6 Bed,2 Bath
572,"Belmont Center, Belmont","$2,950",4 Bed,1 Bath
573,"Egleston Square, Jamaica Plain, Boston","$2,400",3 Bed,1 Bath
574,"Allston, Boston","$3,800",4 Bed,2 Bath
575,"Back Bay East, Back Bay, Boston","$2,800",2 Bed,1 Bath
576,"Powder House, Somerville","$4,200",4 Bed,2 Bath
577,"Watertown West End, Watertown","$3,300",4 Bed,2 Bath
578,"Back Bay East, Back Bay, Boston","$3,850",2 Bed,2 Bath
579,"North Allston, Allston, Boston","$2,750",3 Bed,2 Bath
580,"West End, Boston","$2,860",1 Bed,1 Bath
581,"Huron Village, West Cambridge, Cambridge","$2,856",2 Bed,1 Bath
582,"East Cambridge, Cambridge","$4,117",2 Bed,2 Bath
583,"West End, Boston","$2,915",1 Bed,1 Bath
584,"Downtown Boston, Boston","$3,445",2 Bed,2 Bath
585,"Downtown Boston, Boston","$2,650",1 Bed,1 Bath
586,"Commonwealth, Brighton, Boston","$3,300",4 Bed,1 Bath
587,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,000",2 Bed,1 Bath
588,"Powder House, Somerville","$2,700",3 Bed,1 Bath
589,"City Point, South Boston, Boston","$3,859",1 Bed,1 Bath
590,"Commonwealth, Brighton, Boston","$1,900",1 Bed,1 Bath
591,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,000",3 Bed,1 Bath
592,"Downtown Boston, Boston","$7,900",2 Bed,2.5 Bath
593,"Downtown Boston, Boston","$13,900",3 Bed,3 Bath
594,"St. Elizabeth's, Brighton, Boston","$1,650",1 Bed,1 Bath
595,"Arlington Center, Arlington","$2,500",3 Bed,1 Bath
596,"Commonwealth, Brighton, Boston","$4,200",4 Bed,2 Bath
597,"Mission Hill, Boston","$5,250",5 Bed,1 Bath
598,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$2,875",3 Bed,1 Bath
599,"North Allston, Allston, Boston","$2,050",2 Bed,1 Bath
600,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,566",1 Bed,1 Bath
601,"Huron Village, West Cambridge, Cambridge","$2,856",2 Bed,1 Bath
602,"East Cambridge, Cambridge","$4,117",2 Bed,2 Bath
603,"West End, Boston","$2,915",1 Bed,1 Bath
604,"Downtown Boston, Boston","$3,400",1 Bed,1 Bath
605,"Huron Village, West Cambridge, Cambridge","$2,994",2 Bed,1 Bath
606,"Huron Village, West Cambridge, Cambridge","$2,521",1 Bed,1 Bath
607,"Oak Square, Brighton, Boston","$4,250",5 Bed,1.5 Bath
608,"Back Bay East, Back Bay, Boston","$3,500",2 Bed,1 Bath
609,"Back Bay East, Back Bay, Boston","$4,100",2 Bed,1 Bath
610,"Jeffries Point - Airport, East Boston, Boston","$3,600",4 Bed,2 Bath
611,"Commonwealth, Brighton, Boston","$4,500",5 Bed,3 Bath
612,"Back Bay East, Back Bay, Boston","$5,000",3 Bed,3 Bath
613,"Highland Park, Roxbury, Boston","$3,650",5 Bed,2 Bath
614,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,500",3 Bed,2 Bath
615,"Coolidge Corner, Brookline","$4,900",4 Bed,2 Bath
616,"Coolidge Corner, Brookline","$3,900",3 Bed,1 Bath
617,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,199",2 Bed,2 Bath
618,"Commonwealth, Brighton, Boston","$1,825",1 Bed,1 Bath
619,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,200",3 Bed,1 Bath
620,"Spring Hill, Somerville","$3,450",3 Bed,1 Bath
621,"Downtown Boston, Boston","$3,089",Studio,1 Bath
622,"Downtown Boston, Boston","$3,289",Studio,1 Bath
623,"Downtown Boston, Boston","$3,400",1 Bed,1 Bath
624,Dracut,"$1,250",2 Bed,1.5 Bath
625,"Beacon Hill, Boston","$3,400",2 Bed,1 Bath
626,"Commonwealth, Brighton, Boston","$2,295",2 Bed,1 Bath
627,"Commonwealth, Brighton, Boston","$3,295",4 Bed,1 Bath
628,"Allston, Boston","$1,750",1 Bed,1 Bath
629,"Coolidge Corner, Brookline","$2,450",1 Bed,1 Bath
630,"Commonwealth, Brighton, Boston","$3,800",5 Bed,2 Bath
631,"Glenwood, Medford","$4,500",4 Bed,4 Bath
632,"Oak Square, Brighton, Boston","$4,300",5 Bed,2 Bath
633,"Oak Square, Brighton, Boston","$5,100",6 Bed,3 Bath
634,"Commonwealth, Brighton, Boston","$4,650",5 Bed,2 Bath
635,"Lower Roxbury, Roxbury, Boston","$6,400",5 Bed,2 Bath
636,"Powder House, Somerville","$3,850",3 Bed,1 Bath
637,"Bank Square, Waltham","$3,000",4 Bed,2 Bath
638,"Oak Square, Brighton, Boston","$3,000",3 Bed,1 Bath
639,"Highland Park, Roxbury, Boston","$2,475",2 Bed,1 Bath
640,"North End, Boston","$3,000",2 Bed,1 Bath
641,"Downtown Boston, Boston","$3,089",Studio,1 Bath
642,"Downtown Boston, Boston","$3,289",Studio,1 Bath
643,"Downtown Boston, Boston","$3,400",1 Bed,1 Bath
644,Dracut,"$1,250",2 Bed,1.5 Bath
645,Rowley,"$1,300",2 Bed,1.5 Bath
646,"Beacon Hill, Boston","$3,275",2 Bed,1 Bath
647,"Egleston Square, Jamaica Plain, Boston","$2,450",2 Bed,1 Bath
648,"Oak Square, Brighton, Boston","$2,999",3 Bed,1 Bath
649,"North Allston, Allston, Boston","$2,800",3 Bed,1 Bath
650,"St. Elizabeth's, Brighton, Boston","$4,500",4 Bed,3 Bath
651,"Commonwealth, Brighton, Boston","$2,700",2 Bed,1 Bath
652,"West End, Boston","$2,675",1 Bed,1 Bath
653,"Mission Hill, Boston","$4,800",5 Bed,2 Bath
654,"Mission Hill, Boston","$4,800",5 Bed,2 Bath
655,"Downtown Boston, Boston","$3,574",Studio,1 Bath
656,"Downtown Boston, Boston","$3,549",1 Bed,1 Bath
657,"Downtown Boston, Boston","$5,325",2 Bed,2 Bath
658,"Brookline Village, Brookline","$3,400",2 Bed,2 Bath
659,"North End, Boston","$2,600",1 Bed,1 Bath
660,"Forest Hills - Woodbourne, Jamaica Plain, Boston","$3,350",3 Bed,2 Bath
661,Dracut,"$1,250",2 Bed,1.5 Bath
662,"Oak Square, Brighton, Boston","$3,000",3 Bed,1 Bath
663,Rowley,"$1,300",2 Bed,1.5 Bath
664,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,000",1 Bed,1 Bath
665,"Mid-Cambridge, Cambridge","$3,899",3 Bed,1 Bath
666,"Commonwealth, Brighton, Boston","$3,600",4 Bed,2 Bath
667,"Hyde Square, Jamaica Plain, Boston","$3,500",3 Bed,2 Bath
668,"East Cambridge, Cambridge","$4,280",2 Bed,2 Bath
669,"Commonwealth, Brighton, Boston","$4,300",5 Bed,3 Bath
670,"Commonwealth, Brighton, Boston","$3,200",4 Bed,1.5 Bath
671,"Medford Street - The Neck, Charlestown, Boston","$4,400",4 Bed,2 Bath
672,"Allston, Boston","$5,200",4 Bed,2.5 Bath
673,"Mission Hill, Boston","$3,399",3 Bed,1 Bath
674,"St. Elizabeth's, Brighton, Boston","$3,000",3 Bed,1 Bath
675,"Allston, Boston","$5,200",4 Bed,2.5 Bath
676,"Mission Hill, Boston","$3,100",3 Bed,1 Bath
677,"North Allston, Allston, Boston","$3,400",4 Bed,2 Bath
678,"St. Elizabeth's, Brighton, Boston","$2,600",3 Bed,1 Bath
679,"Hyde Square, Jamaica Plain, Boston","$4,600",5 Bed,2 Bath
680,"Newton Corner, Newton","$2,500",3 Bed,1 Bath
681,"Oak Square, Brighton, Boston","$3,000",3 Bed,1 Bath
682,Rowley,"$1,300",2 Bed,1.5 Bath
683,"Franklin Field North, Greater Mattapan, Boston","$3,300",4 Bed,1 Bath
684,"North End, Boston","$3,020",1 Bed,1 Bath
685,"Mission Hill, Boston","$3,900",4 Bed,1 Bath
686,"Oak Square, Brighton, Boston","$3,600",5 Bed,2 Bath
687,"Coolidge Corner, Brookline","$3,000",2 Bed,1.5 Bath
688,"Oak Square, Brighton, Boston","$3,300",3 Bed,2 Bath
689,"D Street - West Broadway, South Boston, Boston","$3,150",3 Bed,1 Bath
690,"Downtown Boston, Boston","$4,100",1 Bed,1.5 Bath
691,"Oak Square, Brighton, Boston","$2,500",3 Bed,1 Bath
692,"Waterfront, North End, Boston","$3,100",2 Bed,1 Bath
693,"Mission Hill, Boston","$3,200",3 Bed,1 Bath
694,"Oak Square, Brighton, Boston","$2,600",4 Bed,1 Bath
695,"Coolidge Corner, Brookline","$4,300",4 Bed,2 Bath
696,"Cambridge Highlands, Cambridge","$2,400",1 Bed,1 Bath
697,"Beacon Hill, Boston","$2,400",1 Bed,1 Bath
698,"Spring Hill, Somerville","$1,950",1 Bed,1 Bath
699,"Allston, Boston","$6,000",7 Bed,3 Bath
700,"Allston, Boston","$6,000",7 Bed,3 Bath
701,"Franklin Field North, Greater Mattapan, Boston","$3,300",4 Bed,1 Bath
702,"North End, Boston","$3,020",1 Bed,1 Bath
703,"Mission Hill, Boston","$3,900",4 Bed,1 Bath
704,"Coolidge Corner, Brookline","$2,700",2 Bed,1 Bath
705,"Mission Hill, Boston","$7,000",6 Bed,3 Bath
706,"Oak Square, Brighton, Boston","$2,700",3 Bed,1 Bath
707,"Harvard Square, Cambridge","$6,500",4 Bed,2 Bath
708,"Washington Square, Brookline","$3,499",3 Bed,2 Bath
709,"Powder House, Somerville","$3,100",3 Bed,1 Bath
710,"Spring Hill, Somerville","$3,600",3 Bed,2 Bath
711,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,550",1 Bed,1 Bath
712,"Central Maverick Square - Paris Street, East Boston, Boston","$2,050",2 Bed,1 Bath
713,"Oak Square, Brighton, Boston","$4,000",5 Bed,1 Bath
714,"Central Maverick Square - Paris Street, East Boston, Boston","$2,900",2 Bed,2 Bath
715,"Jeffries Point - Airport, East Boston, Boston","$3,600",2 Bed,2 Bath
716,"Jeffries Point - Airport, East Boston, Boston","$2,600",3 Bed,1 Bath
717,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
718,"Allston, Boston","$2,295",2 Bed,1 Bath
719,"Hyde Square, Jamaica Plain, Boston","$3,650",3 Bed,2 Bath
720,"Waban, Newton","$2,400",2 Bed,1 Bath
721,"Franklin Field North, Greater Mattapan, Boston","$3,300",4 Bed,1 Bath
722,"North End, Boston","$3,020",1 Bed,1 Bath
723,"Mission Hill, Boston","$3,900",4 Bed,1 Bath
724,"North Cambridge, Cambridge","$3,690",2 Bed,2 Bath
725,"Mission Hill, Boston","$3,700",4 Bed,1 Bath
726,"Beacon Hill, Boston","$3,000",2 Bed,1 Bath
727,"Neighborhood Nine, Cambridge","$2,490",1 Bed,1 Bath
728,"North Allston, Allston, Boston","$5,500",7 Bed,3.5 Bath
729,"Oak Square, Brighton, Boston","$3,100",4 Bed,1.5 Bath
730,"Newton Corner, Newton","$5,500",5 Bed,3 Bath
731,"North End, Boston","$2,600",2 Bed,1 Bath
732,"St. Elizabeth's, Brighton, Boston","$3,000",4 Bed,2 Bath
733,"Coolidge Corner, Brookline","$2,100",1 Bed,1 Bath
734,"Back Bay East, Back Bay, Boston","$5,200",1 Bed,1 Bath
735,"Oak Square, Brighton, Boston","$2,850",3 Bed,1 Bath
736,"North End, Boston","$3,500",3 Bed,1 Bath
737,"Oak Square, Brighton, Boston","$4,850",5 Bed,2.5 Bath
738,"Coolidge Corner, Brookline","$3,375",3 Bed,1 Bath
739,"Commonwealth, Brighton, Boston","$4,100",4 Bed,2 Bath
740,"Uphams Corner - Jones Hill, Dorchester, Boston","$3,200",4 Bed,1 Bath
741,"East Cambridge, Cambridge","$2,892",1 Bed,1 Bath
742,"West End, Boston","$2,565",Studio,1 Bath
743,"East Cambridge, Cambridge","$4,957",2 Bed,2 Bath
744,"Commonwealth, Brighton, Boston","$1,825",1 Bed,1 Bath
745,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,160",2 Bed,1 Bath
746,"Allston, Boston","$7,000",7 Bed,3 Bath
747,"Allston, Boston","$1,850",1 Bed,1 Bath
748,"Coolidge Corner, Brookline","$3,900",3 Bed,1 Bath
749,"St. Elizabeth's, Brighton, Boston","$3,300",4 Bed,2.5 Bath
750,"Oak Square, Brighton, Boston","$4,800",5 Bed,3.5 Bath
751,"Oak Square, Brighton, Boston","$2,800",3 Bed,2 Bath
752,"Oak Square, Brighton, Newton","$3,300",3 Bed,2 Bath
753,"Oak Square, Brighton, Boston","$3,300",3 Bed,3.5 Bath
754,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,350",1 Bed,1 Bath
755,"Allston, Boston","$7,500",6 Bed,2 Bath
756,"Mission Hill, Boston","$4,200",4 Bed,2 Bath
757,"Allston, Boston","$2,700",3 Bed,1 Bath
758,"Commonwealth, Brighton, Boston","$4,550",5 Bed,3 Bath
759,"Allston, Boston","$2,775",3 Bed,2 Bath
760,"Newton Center, Newton","$2,500",2 Bed,1 Bath
761,"East Cambridge, Cambridge","$2,892",1 Bed,1 Bath
762,"West End, Boston","$2,565",Studio,1 Bath
763,"East Cambridge, Cambridge","$4,957",2 Bed,2 Bath
764,"Commonwealth, Brighton, Boston","$1,825",1 Bed,1 Bath
765,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,160",2 Bed,1 Bath
766,"Jeffries Point - Airport, East Boston, Boston","$2,100",2 Bed,1 Bath
767,"Coolidge Corner, Brookline","$3,200",3 Bed,1 Bath
